mir-551,MIPF0000360
mir-854,MIPF0000361
mir-790,MIPF0000362
mir-786,MIPF0000363
mir-787,MIPF0000364
mir-675,MIPF0000365
mir-242,MIPF0000366
mir-235,MIPF0000367
mir-255,MIPF0000368
mir-845_1,MIPF0000369
mir-791,MIPF0000370
mir-359,MIPF0000371
mir-392,MIPF0000372
mir-789,MIPF0000373
mir-918,MIPF0000374
mir-414,MIPF0000375
mir-902,MIPF0000376
mir-534,MIPF0000377
mir-898,MIPF0000378
mir-904,MIPF0000379
mir-1030,MIPF0000380
mir-1063,MIPF0000381
mir-1122,MIPF0000382
mir-1223,MIPF0000383
mir-465,MIPF0000384
mir-1033,MIPF0000385
mir-743,MIPF0000386
mir-941,MIPF0000387
mir-529,MIPF0000388
mir-883,MIPF0000389
mir-873,MIPF0000390
mir-672,MIPF0000391
mir-877,MIPF0000392
mir-598,MIPF0000393
mir-674,MIPF0000394
mir-760,MIPF0000395
mir-1023,MIPF0000396
mir-708,MIPF0000397
mir-536,MIPF0000398
mir-872,MIPF0000399
mir-1094,MIPF0000400
mir-874,MIPF0000401
mir-444,MIPF0000402
mir-482,MIPF0000403
mir-665,MIPF0000404
mir-673,MIPF0000405
mir-1024,MIPF0000406
mir-950,MIPF0000407
mir-568,MIPF0000408
mir-654,MIPF0000409
mir-1222,MIPF0000410
mir-343,MIPF0000411
mir-742,MIPF0000412
mir-1026,MIPF0000413
mir-1027,MIPF0000414
mir-1151,MIPF0000415
mir-1031,MIPF0000416
mir-582,MIPF0000417
mir-590,MIPF0000418
mir-574,MIPF0000419
mir-891,MIPF0000420
mir-879,MIPF0000421
mir-1082,MIPF0000422
mir-471,MIPF0000423
mir-875,MIPF0000424
mir-463,MIPF0000425
mir-952,MIPF0000426
mir-946,MIPF0000427
mir-881,MIPF0000429
mir-876,MIPF0000430
mir-744,MIPF0000431
mir-1144,MIPF0000432
mir-880,MIPF0000433
mir-878,MIPF0000434
mir-653,MIPF0000435
mir-544,MIPF0000436
mir-504,MIPF0000437
mir-327,MIPF0000438
mir-434,MIPF0000439
mir-1224,MIPF0000440
mir-427,MIPF0000441
mir-824,MIPF0000442
mir-1120,MIPF0000443
mir-1226,MIPF0000444
mir-1225,MIPF0000445
mir-m107-1,MIPF0000446
mir-929,MIPF0000447
mir-1140,MIPF0000448
mir-996,MIPF0000449
mir-983,MIPF0000450
mir-m22-1,MIPF0000451
mir-927,MIPF0000452
mir-m21-1,MIPF0000453
mir-1227,MIPF0000454
mir-161,MIPF0000455
mir-1302,MIPF0000456
mir-650,MIPF0000457
mir-1497,MIPF0000458
mir-1446,MIPF0000459
mir-1829,MIPF0000460
mir-1444,MIPF0000461
mir-663,MIPF0000462
mir-498,MIPF0000463
mir-612,MIPF0000464
mir-661,MIPF0000465
mir-581,MIPF0000466
mir-586,MIPF0000467
mir-642,MIPF0000468
mir-938,MIPF0000469
mir-549,MIPF0000470
mir-676,MIPF0000471
mir-281,MIPF0000472
mir-1095,MIPF0000473
mir-626,MIPF0000474
mir-556,MIPF0000475
mir-648,MIPF0000476
mir-578,MIPF0000477
mir-651,MIPF0000478
mir-597,MIPF0000479
mir-607,MIPF0000480
mir-845_2,MIPF0000481
mir-583,MIPF0000482
mir-1271,MIPF0000483
mir-600,MIPF0000484
mir-1542,MIPF0000485
mir-638,MIPF0000486
mir-553,MIPF0000487
mir-643,MIPF0000488
mir-939,MIPF0000490
mir-200,MIPF0000491
mir-662,MIPF0000492
mir-576,MIPF0000493
mir-640,MIPF0000494
mir-920,MIPF0000495
mir-589,MIPF0000496
mir-810,MIPF0000497
mir-657,MIPF0000498
mir-492,MIPF0000499
mir-373,MIPF0000500
mir-552,MIPF0000501
mir-599,MIPF0000502
mir-593,MIPF0000503
mir-1473,MIPF0000504
mir-933,MIPF0000505
mir-1255,MIPF0000506
mir-616,MIPF0000507
mir-631,MIPF0000508
mir-92,MIPF0000509
mir-886,MIPF0000510
mir-942,MIPF0000511
mir-562,MIPF0000512
mir-924,MIPF0000513
mir-889,MIPF0000514
mir-580,MIPF0000515
mir-609,MIPF0000516
mir-936,MIPF0000517
mir-512,MIPF0000518
mir-563,MIPF0000519
mir-557,MIPF0000520
mir-530,MIPF0000521
mir-601,MIPF0000522
mir-624,MIPF0000523
mir-636,MIPF0000524
mir-1490,MIPF0000525
mir-M7,MIPF0000526
mir-632,MIPF0000527
mir-605,MIPF0000528
mir-628,MIPF0000529
mir-577,MIPF0000530
mir-1306,MIPF0000531
mir-885,MIPF0000532
mir-584,MIPF0000533
mir-625,MIPF0000534
mir-569,MIPF0000535
mir-922,MIPF0000536
mir-572,MIPF0000537
mir-558,MIPF0000538
mir-611,MIPF0000539
mir-940,MIPF0000540
mir-944,MIPF0000541
mir-934,MIPF0000542
mir-845_3,MIPF0000543
mir-828,MIPF0000544
mir-765,MIPF0000545
